2017/04/21/clemlb-chamlb-1,18159,cle,cha,"Guaranteed Rate Field",1492819860,R,F,0
2017/04/21/detmlb-minmlb-1,22647,det,min,"Target Field",1492819800,R,F,1
2017/04/21/houmlb-tbamlb-1,17683,hou,tba,"Tropicana Field",1492819860,R,F,0
2017/04/21/kcamlb-texmlb-1,31320,kca,tex,"Globe Life Park in Arlington",1492819800,R,F,1
2017/04/21/lanmlb-arimlb-1,27018,lan,ari,"Chase Field",1492818000,R,F,1
2017/04/21/miamlb-sdnmlb-1,30413,mia,sdn,"Petco Park",1492819860,R,F,1
2017/04/21/nyamlb-pitmlb-1,30565,nya,pit,"PNC Park",1492819500,R,F,1
2017/04/21/seamlb-oakmlb-1,15255,sea,oak,"Oakland Coliseum",1492819620,R,F,1
2017/04/21/sfnmlb-colmlb-1,27663,sfn,col,"Coors Field",1492818060,R,F,1
2017/04/21/slnmlb-milmlb-1,23126,sln,mil,"Miller Park",1492819860,R,F,0
2017/04/21/tormlb-anamlb-1,40176,tor,ana,"Angel Stadium of Anaheim",1492819740,R,F,0
2017/04/21/wasmlb-nynmlb-1,34773,was,nyn,"Citi Field",1492819920,R,F,0
2017/04/22/atlmlb-phimlb-1,31334,atl,phi,"Citizens Bank Park",1492906020,R,F,1
2017/04/22/bosmlb-balmlb-1,35457,bos,bal,"Oriole Park at Camden Yards",1492907580,R,F,1
2017/04/22/chnmlb-cinmlb-1,27189,chn,cin,"Great American Ball Park",1492884600,R,F,0
2017/04/22/clemlb-chamlb-1,32044,cle,cha,"Guaranteed Rate Field",1492902600,R,F,0
2017/04/22/detmlb-minmlb-1,25719,det,min,"Target Field",1492884660,R,F,0
2017/04/22/houmlb-tbamlb-1,17008,hou,tba,"Tropicana Field",1492902600,R,F,1
2017/04/22/kcamlb-texmlb-1,41446,kca,tex,"Globe Life Park in Arlington",1492906080,R,F,1
2017/04/22/lanmlb-arimlb-1,36294,lan,ari,"Chase Field",1492899000,R,F,1
2017/04/22/miamlb-sdnmlb-1,39319,mia,sdn,"Petco Park",1492900980,R,F,0
2017/04/22/nyamlb-pitmlb-1,36140,nya,pit,"PNC Park",1492895220,R,F,0
2017/04/22/seamlb-oakmlb-1,20722,sea,oak,"Oakland Coliseum",1492884420,R,F,1
2017/04/22/sfnmlb-colmlb-1,39239,sfn,col,"Coors Field",1492902720,R,F,1
2017/04/22/slnmlb-milmlb-1,30865,sln,mil,"Miller Park",1492902600,R,F,0
2017/04/22/tormlb-anamlb-1,41345,tor,ana,"Angel Stadium of Anaheim",1492902480,R,F,1
2017/04/22/wasmlb-nynmlb-1,42145,was,nyn,"Citi Field",1492895100,R,F,0
2017/04/23/atlmlb-phimlb-1,28632,atl,phi,"Citizens Bank Park",1492972620,R,F,1
2017/04/23/bosmlb-balmlb-1,35522,bos,bal,"Oriole Park at Camden Yards",1492972680,R,F,0
2017/04/23/chnmlb-cinmlb-1,32670,chn,cin,"Great American Ball Park",1492971000,R,F,1
2017/04/23/clemlb-chamlb-1,24444,cle,cha,"Guaranteed Rate Field",1492971000,R,F,1
2017/04/23/detmlb-minmlb-1,26713,det,min,"Target Field",1492971180,R,F,0
2017/04/23/houmlb-tbamlb-1,15548,hou,tba,"Tropicana Field",1492971060,R,F,0
2017/04/23/kcamlb-texmlb-1,37177,kca,tex,"Globe Life Park in Arlington",1492974480,R,F,1
2017/04/23/lanmlb-arimlb-1,28704,lan,ari,"Chase Field",1492971060,R,F,0
2017/04/23/miamlb-sdnmlb-1,26070,mia,sdn,"Petco Park",1492972980,R,F,0
2017/04/23/nyamlb-pitmlb-1,27840,nya,pit,"PNC Park",1492972500,R,F,1
2017/04/23/seamlb-oakmlb-1,24165,sea,oak,"Oakland Coliseum",1492970820,R,F,0
2017/04/23/sfnmlb-colmlb-1,42011,sfn,col,"Coors Field",1492971060,R,F,1
2017/04/23/slnmlb-milmlb-1,31158,sln,mil,"Miller Park",1492971060,R,F,0
2017/04/23/tormlb-anamlb-1,35034,tor,ana,"Angel Stadium of Anaheim",1492969140,R,F,0
2017/04/23/wasmlb-nynmlb-1,27044,was,nyn,"Citi Field",1492996080,R,F,0
2017/04/24/chnmlb-pitmlb-1,13445,chn,pit,"PNC Park",1493078880,R,F,0
2017/04/24/cinmlb-milmlb-1,23943,cin,mil,"Miller Park",1493077200,R,F,1
2017/04/24/kcamlb-chamlb-1,11484,kca,cha,"Guaranteed Rate Field",1493079240,R,F,1
